Parent_co,From
Archer Daniels Midland Co,ADM (company)
Air Products & Chemicals Inc,Air Products & Chemicals
Alliant Energy Corp,Alliant Energy Corp
Ameren Corp,Ameren Corp
American Electric Power Co Inc,American Electric Power
Anheuser-Busch Cos Llc,Anheuser-Busch
Anr Pipeline Co,ANR Pipeline
Apache Corp,Apache Corp
Arcelormittal Usa Llc,ArcelorMittal
Atmos Energy Corp,Atmos Energy Corp
Basf Corp,BASF
Basin Electric Power Cooperative,Basin Electric Power Cooperative
Berkshire Hathaway Inc,Berkshire Hathaway
Black Hills Corp,Black Hills Corp
Bp America Inc,BP
Brookfield Infrastructure Partners Lp,Brookfield Infrastructure Partners
Cargill Inc,Cargill
Centerpoint Energy Inc,Centerpoint Energy
Chevron Corp,Chevron Corp
Fca Us Llc,Chrysler
Cms Energy Corp,CMS Energy
Conocophillips,Conocophillips
Contura Energy Inc,Contura Energy
Covanta Holding Corp,Covanta
Denbury Resources Inc,Denbury Resources
Devon Energy Corp,Devon Energy Corp
Dominion Energy Inc,Dominion Energy
Dow Inc,Dow Inc.
Dte Energy Co,DTE Energy
Duke Energy Corp,Duke Energy
Dupont De Nemours Inc,DuPont
Enbridge (Us) Inc,Enbridge
Energy Transfer Lp,Energy Transfer Partners
Entergy Corp,Entergy Corp
Enterprise Products Partners Lp,Enterprise Products
Eog Resources Inc,EOG Resources
Equitrans Midstream Corp,Equitrans Midstream Corp
Evergy Inc,Evergy
Exelon Corp,Exelon Corp
Exxon Mobil Corp,Exxon Mobil Corp
General Motors Co,General Motors
Genon Holdings Inc,GenOn Energy Holdings
Green Plains Inc,Green Plains Inc.
International Paper Co,International Paper
Kinder Morgan Inc,Kinder Morgan
Koch Industries Inc,Koch Industries
Loews Corp,Loews Corp
Marathon Petroleum Corp,Marathon Petroleum Corp
Mdu Resources Group Inc,MDU Resources
Merit Energy Co Llc,Merit Energy Company
National Fuel Gas Co,National Fuel Gas
National Grid Usa,National Grid plc
Nextera Energy Inc,NextEra Energy
Nisource Inc,Nisource
Nrg Energy Inc,NRG Energy
Nucor Corp,Nucor Corp
"O-I Glass, Inc",O-I Glass
Occidental Petroleum Corp,Occidental Petroleum Corp
Oneok Inc,Oneok
Owens Corning,Owens Corning
Pacific Gas & Electric Co,Pacific Gas and Electric Company
Phillips 66,Phillips 66
Poet Llc,POET
Praxair Inc,Praxair
Public Service Enterprise Group Inc,Public Service Enterprise Group
Rockies Express Pipeline Llc,Rockies Express Pipeline
Salt River Project,Salt River Project
Shell Petroleum Inc,Shell Petroleum
The Southern Co,Southern Company
Talen Energy Corp,Talen Energy
Targa Resources Corp,Targa Resources Corp
Vistra Energy Corp,TXU Energy
Tyson Foods Inc,Tyson Foods
Us Steel Corp,Us Steel Corp
Usg Corp,USG Corporation
Valero Energy Corp,Valero Energy Corp
Waste Connections Us Inc,Waste Connections
Waste Management Inc,Waste Management (corporation)
Wec Energy Group,WEC Energy Group
Westrock Co,WestRock
The Williams Cos Inc,Williams Companies
Xcel Energy,Xcel Energy