Parent_co,Wiki
Advanced Disposal Services Inc,None
Air Products & Chemicals Inc,Air Products & Chemicals Inc
Alliant Energy Corp,Alliant Energy Corp
Ameren Corp,Ameren Corp
American Air Liquide Holdings Inc,None
American Electric Power Co Inc,American Electric Power
Anheuser-Busch Cos Llc,Anheuser-Busch
Anr Pipeline Co,ANR Pipeline
Apache Corp,Apache Corp
Arcelormittal Usa Llc,ArcelorMittal
Archer Daniels Midland Co,ADM (company)
Ardagh Glass Inc,None
Atmos Energy Corp,Atmos Energy Corp
Basf Corp,BASF
Basin Electric Power Cooperative,Basin Electric Power Cooperative
Berkshire Hathaway Inc,Berkshire Hathaway Inc
Black Hills Corp,Black Hills Corp
Bp America Inc,BP
Brookfield Infrastructure Partners Lp,Brookfield Infrastructure Partners
Cargill Inc,Cargill Inc
Centerpoint Energy Inc,Centerpoint Energy Inc
Chevron Corp,Chevron Corp
Cms Energy Corp,CMS Energy
Conocophillips,Conocophillips
Contura Energy Inc,Contura Energy Inc
Covanta Holding Corp,Covanta
Dcp Midstream Lp,None
Denbury Resources Inc,Denbury Resources Inc
Devon Energy Corp,Devon Energy Corp
Dominion Energy Inc,Dominion Energy Inc
Dow Inc,Dow Inc.
Dte Energy Co,DTE Energy
Duke Energy Corp,Duke Energy
Dupont De Nemours Inc,DuPont
Enable Midstream Partners Lp,None
Enbridge (Us) Inc,Enbridge
Energy Transfer Lp,Energy Transfer Partners
Enlink Midstream Llc,None
Entergy Corp,Entergy Corp
Enterprise Products Partners Lp,Enterprise Products
Eog Resources Inc,EOG Resources
Equitrans Midstream Corp,Equitrans Midstream Corp
Evergy Inc,Evergy Inc
Exelon Corp,Exelon Corp
Exxon Mobil Corp,Exxon Mobil Corp
Fca Us Llc,Chrysler
Fieldwood Holdings Llc,None
General Motors Co,General Motors
Genon Holdings Inc,GenOn Energy Holdings
Green Plains Inc,Green Plains Inc.
Hilcorp Energy Co,None
International Paper Co,International Paper
Kinder Morgan Inc,Kinder Morgan Inc
Koch Industries Inc,Koch Industries Inc
Loews Corp,Loews Corp
"Ls Power Development, Llc",None
Marathon Petroleum Corp,Marathon Petroleum Corp
Mdu Resources Group Inc,MDU Resources
Merit Energy Co Llc,Merit Energy Company
Midcoast Energy Llc,None
Mplx Lp,None
National Fuel Gas Co,National Fuel Gas
National Grid Usa,National Grid plc
Nextera Energy Inc,NextEra Energy
Nisource Inc,Nisource Inc
Nrg Energy Inc,NRG Energy
Nucor Corp,Nucor Corp
"O-I Glass, Inc",O-I Glass
Occidental Petroleum Corp,Occidental Petroleum Corp
Oneok Inc,Oneok Inc
Owens Corning,Owens Corning
Pacific Gas & Electric Co,Pacific Gas and Electric Company
Phillips 66,Phillips 66
Poet Llc,POET
Praxair Inc,Praxair Inc
Public Service Enterprise Group Inc,Public Service Enterprise Group Inc
Republic Services Inc,None
Rockies Express Pipeline Llc,Rockies Express Pipeline
Salt River Project,Salt River Project
Shell Petroleum Inc,Shell Petroleum Inc
Spangler Cos Inc,None
Talen Energy Corp,Talen Energy
Targa Resources Corp,Targa Resources Corp
The Southern Co,Southern Company
The Williams Cos Inc,Williams Companies
Transcanada Pipeline Usa Ltd,None
Tyson Foods Inc,Tyson Foods Inc
Us Government,None
Us Steel Corp,Us Steel Corp
Usg Corp,USG Corporation
Valero Energy Corp,Valero Energy Corp
Vistra Energy Corp,TXU Energy
Volt Parent Lp,None
W&T Offshore Inc,None
Waste Connections Us Inc,Waste Connections
Waste Management Inc,Waste Management (corporation)
Wec Energy Group,WEC Energy Group
Westrock Co,WestRock
Wheelabrator Technologies Holdings Inc,None
Xcel Energy,Xcel Energy